iter	RMSE
0	1.5412532
1	1.502123897
2	1.461185492
3	1.424139542
4	1.389354035
5	1.356763293
6	1.325539709
7	1.296852756
8	1.268877518
9	1.241534013
10	1.218634593
11	1.196460728
12	1.175954542
13	1.155470919
14	1.138418071
15	1.12284948
16	1.106522212
17	1.092025457
18	1.076574397
19	1.063933462
20	1.05234833
21	1.040830034
22	1.030842663
23	1.020706472
24	1.010629759
25	1.002386822
26	0.9944569642
27	0.9871243111
28	0.9800766868
29	0.9737593458
30	0.9659328717
31	0.9598605731
32	0.9540596131
33	0.948785067
34	0.9437537248
35	0.9389049505
36	0.9333929158
37	0.928215442
38	0.9240213381
39	0.9201070933
40	0.9165153833
41	0.9128568719
42	0.9095342832
43	0.9052204867
44	0.9015366283
45	0.8984491105
46	0.8956647038
47	0.8929368592
48	0.8902945351
49	0.8882125893
50	0.8847800792
51	0.8823126189
52	0.879587653
53	0.877085106
54	0.8752539016
55	0.8732340125
56	0.8709561147
57	0.8686451858
58	0.8658668536
59	0.8631826102
60	0.8610176266
61	0.8586495533
62	0.8564451732
63	0.8545523035
64	0.8522858744
65	0.8503313464
66	0.8486931253
67	0.845880625
68	0.8443448838
69	0.8432250127
70	0.8420417577
71	0.8408963608
72	0.8390893217
73	0.8377319391
74	0.8361658448
75	0.8350543859
76	0.8336185358
77	0.8327940584
78	0.8313846857
79	0.8301336881
80	0.8288091646
81	0.8275398741
82	0.8262547434
83	0.8254974285
84	0.8246014347
85	0.8234994024
86	0.821798159
87	0.8207234827
88	0.8197336429
89	0.8184987648
90	0.817328693
91	0.8160003196
92	0.8147435627
93	0.8135108674
94	0.8126447038
95	0.8116429293
96	0.8107426128
97	0.809616331
98	0.8095287363
99	0.8084552833
100	0.8080154903
101	0.8064831619
102	0.8049629031
103	0.8041142287
104	0.8036134055
105	0.8024324544
106	0.8013367581
107	0.8006075197
108	0.7998813026
109	0.7984264544
110	0.7978655556
111	0.7972261525
112	0.7965405463
113	0.7959931948
114	0.7952476093
115	0.7945594205
116	0.7935508515
117	0.7929703602
118	0.7923307388
119	0.791601114
120	0.7897782477
121	0.7890897646
122	0.7882267571
123	0.7876552006
124	0.7871874951
125	0.7867239846
126	0.7858884463
127	0.785290337
128	0.7851116385
129	0.7845336893
130	0.7835815659
131	0.7828935803
132	0.7821427206
133	0.781423546
134	0.7807318807
135	0.7805460354
136	0.7804402771
137	0.7804131294
138	0.780109344
139	0.7800829876
140	0.7792723321
141	0.7783731948
142	0.7775950549
143	0.7768601573
144	0.7758065774
145	0.775127999
146	0.7745187065
147	0.7739052323
148	0.7727933643
149	0.7720234013
150	0.7710106379
151	0.7701878124
152	0.7694037704
153	0.7688753036
154	0.7686002536
155	0.7682254638
156	0.7674950115
157	0.7669901673
158	0.7661520938
159	0.7651724658
160	0.7646194442
161	0.7635075045
162	0.7627838115
163	0.7622116935
164	0.7619130117
165	0.7612486787
166	0.7603861262
167	0.760084345
168	0.7593673255
169	0.7585565165
170	0.7578543063
171	0.757241123
172	0.7562338888
173	0.7552823893
174	0.7549371144
175	0.7540862554
176	0.7540631582
177	0.7537626497
178	0.7527556584
179	0.7523338479
180	0.7517379346
181	0.7511021515
182	0.7504867757
183	0.7498200359
184	0.7497976699
185	0.7488799517
186	0.7482399529
187	0.7479954267
188	0.7470258954
189	0.7466083416
190	0.7459602731
191	0.7454571009
192	0.7449183943
193	0.7440023431
194	0.743982229
195	0.7439430764
196	0.7438527343
197	0.7429150651
198	0.7425438096
199	0.7422693387
200	0.7419355353
201	0.7414454093
202	0.7408069736
203	0.7407334332
204	0.7406611307
205	0.739701227
206	0.739589674
207	0.7392962488
208	0.7387366776
209	0.7380541955
210	0.7370291716
211	0.7363639472
212	0.7360952107
213	0.7360048881
214	0.7355908045
215	0.7348710102
216	0.7344870094
217	0.7339189717
218	0.7335245974
219	0.7323214565
220	0.7312893167
221	0.7302763304
222	0.7300217174
223	0.7290879432
224	0.7283006788
225	0.7279651678
226	0.7278473973
227	0.7269073283
228	0.7266544536
229	0.7265779749
230	0.726171947
231	0.7255004693
232	0.7248872242
233	0.7244522824
234	0.7240461279
235	0.7235139455
236	0.7230103771
237	0.7222998172
238	0.7217824843
239	0.7217171174
240	0.7208253129
241	0.7201681035
242	0.7195342251
243	0.7190753368
244	0.7186159152
245	0.7182443171
246	0.7177031858
247	0.7167373449
248	0.7158044263
249	0.7156597969
250	0.7148979836
251	0.7144537183
252	0.7138736821
253	0.7131976023
254	0.7127449333
255	0.7123603747
256	0.7116411101
257	0.7106979201
258	0.7098691252
259	0.7093408377
260	0.7092467864
261	0.7085804343
262	0.7075909664
263	0.7070431361
264	0.7062375313
265	0.7061399352
266	0.7053499993
267	0.7046001246
268	0.7039095118
269	0.7034769977
270	0.7031857082
271	0.7027245327
272	0.7019953565
273	0.7015813138
274	0.7008163584
275	0.7005660727
276	0.7001640544
277	0.6995503077
278	0.6987260723
279	0.6982494504
280	0.6981141508
281	0.6973645134
282	0.6969366729
283	0.6965732214
284	0.696214702
285	0.695510697
286	0.6949685809
287	0.694387692
288	0.6939808977
289	0.6935011978
290	0.6930017574
291	0.6927065341
292	0.6924309517
293	0.69186667
294	0.6916053255
295	0.69123086
296	0.6911320007
297	0.6903297988
298	0.6900962284
299	0.6898050973
300	0.6892674023
301	0.6888588252
302	0.6887452818
303	0.6884183875
304	0.6883441103
305	0.6877486817
306	0.6876771481
307	0.6873802883
308	0.6870914454
309	0.6865422255
310	0.6865132344
311	0.6859703098
312	0.6859092357
313	0.6855713837
314	0.6852398966
315	0.6845344699
316	0.683839104
317	0.6836338887
318	0.6830968819
319	0.6825378261
320	0.6822219629
321	0.6819164559
322	0.6814956282
323	0.6810784788
324	0.6810514877
325	0.680461621
326	0.680006627
327	0.6796743294
328	0.6791117134
329	0.6787707618
330	0.6785455202
331	0.6781348201
332	0.6777608744
333	0.6774627432
334	0.6770343544
335	0.6767211116
336	0.6765333799
337	0.6764059898
338	0.6759390923
339	0.6753478242
340	0.6750259502
341	0.674669672
342	0.6744804935
343	0.6741581938
344	0.6733709799
345	0.6726514026
346	0.6719891327
347	0.6716019063
348	0.6715190537
349	0.6708514226
350	0.6706424113
351	0.6701093819
352	0.6698835503
353	0.6695603609
354	0.6692309445
355	0.6688415873
356	0.6683852739
357	0.6679574896
358	0.6675256
359	0.6674111508
360	0.6666174115
361	0.6660674821
362	0.6657947479
363	0.6653664098
364	0.6653388025
365	0.6648745032
366	0.6646767779
367	0.6643481941
368	0.6640462661
369	0.6636312497
370	0.6630402963
371	0.662958545
372	0.6627435237
373	0.6623072948
374	0.6615729213
375	0.6614094189
376	0.6611363257
377	0.660796763
378	0.6602766436
379	0.6600788052
380	0.6600303951
381	0.6599117067
382	0.6596288392
383	0.659389937
384	0.659100904
385	0.658478425
386	0.6575911802
387	0.6574476571
388	0.6570695095
389	0.6567878776
390	0.65653087
391	0.656256109
392	0.655805839
393	0.6555549201
394	0.6551278365
395	0.65478199
396	0.6543156361
397	0.6542697562
398	0.6539521044
399	0.6534871777
400	0.6531220397
401	0.6530854141
402	0.6525911902
403	0.6519541714
404	0.6516502742
405	0.6512246908
406	0.6508813865
407	0.650729188
408	0.6505048287
409	0.6503030479
410	0.6495319257
411	0.6492520703
412	0.648934674
413	0.6486808185
414	0.6483990268
415	0.6479922031
416	0.6474796192
417	0.6468726765
418	0.6465015353
419	0.6458138963
420	0.6453336956
421	0.6449631471
422	0.6445172317
423	0.6443785745
424	0.6440888811
425	0.6437476347
426	0.6434211042
427	0.6428584003
428	0.6426105343
429	0.6422459713
430	0.6419611696
431	0.6415913084
432	0.6411288159
433	0.6404186344
434	0.6398919311
435	0.6394485861
436	0.6393183304
437	0.638883802
438	0.6386875097
439	0.6386187363
440	0.6380310927
441	0.6377256078
442	0.6374983524
443	0.6371223596
444	0.636896859
445	0.6366794657
446	0.6365777452
447	0.6361614332
448	0.6361340746
449	0.6357533092
450	0.6355385844
451	0.6350397516
452	0.634664858
453	0.6341610709
454	0.6339566835
455	0.6336506702
456	0.6332778745
457	0.6329132248
458	0.6323536777
459	0.6321414684
460	0.6319001791
461	0.63168528
462	0.6315441258
463	0.6312716359
464	0.6308151519
465	0.6307128864
466	0.6304691963
467	0.6303222387
468	0.6300066635
469	0.629875733
470	0.6296689747
471	0.6292085911
472	0.6288198911
473	0.6287278882
474	0.6284719995
475	0.6282566703
476	0.6281639245
477	0.6278535965
478	0.6277642149
479	0.6274679536
480	0.6271764122
481	0.6268237215
482	0.6265563626
483	0.6261101183
484	0.6257194087
485	0.6253433139
486	0.6251648679
487	0.6246848361
488	0.6245631196
489	0.624269248
490	0.6239746284
491	0.6237392836
492	0.6232945338
493	0.622729861
494	0.6222741795
495	0.6222193001
496	0.6217637129
497	0.6215846176
498	0.6211889274
499	0.6209274924
500	0.620467961
501	0.6203501342
502	0.6201114238
503	0.6199994342
504	0.6197827317
505	0.6195713377
506	0.6193001108
507	0.619273941
508	0.6187965628
509	0.6182097866
510	0.6176555243
511	0.6172067131
512	0.6169632967
513	0.6166536572
514	0.6160340499
515	0.6158494358
516	0.615767154
517	0.6155332657
518	0.6154389015
519	0.6150672259
520	0.6146562886
521	0.6144487191
522	0.6140699853
523	0.6137040405
524	0.6132381539
525	0.6130849855
526	0.6124570685
527	0.6123784758
528	0.6123530912
529	0.6120969514
530	0.6120325737
531	0.6119703929
532	0.6118906575
533	0.6115420607
534	0.6114236885
535	0.6111483772
536	0.6109336336
537	0.6104064062
538	0.6099672133
539	0.609552837
540	0.609332748
541	0.6092003879
542	0.6087701425
543	0.6087315303
544	0.6082776152
545	0.6080754696
546	0.6077913573
547	0.6075110966
548	0.607390963
549	0.6071233866
550	0.6068992144
551	0.6066758941
552	0.6061288941
553	0.6057689884
554	0.6053288713
555	0.6049594304
556	0.6049308284
557	0.6048722199
558	0.6048137669
559	0.6041345943
560	0.6038808108
561	0.6036105217
562	0.6029925378
563	0.6024582481
564	0.6022563622
565	0.6020413977
566	0.601941495
567	0.6018229062
568	0.60169137
569	0.6016374674
570	0.6015794611
571	0.6012789948
572	0.6008896469
573	0.6004209925
574	0.6003142537
575	0.5997663759
576	0.5991935604
577	0.5987910274
578	0.5983464698
579	0.5981662258
580	0.5981331987
581	0.5978512839
582	0.5974269433
583	0.5974040434
584	0.5971639457
585	0.5970547327
586	0.596482182
