iter	Passed	Remaining
0	3	6801
1	7	7485
2	11	7391
3	14	7402
4	17	7033
5	19	6613
6	23	6778
7	27	6793
8	31	6867
9	34	6782
10	37	6851
11	40	6737
12	44	6764
13	47	6781
14	50	6705
15	54	6763
16	57	6676
17	60	6632
18	63	6655
19	66	6632
20	70	6621
21	73	6573
22	76	6577
23	80	6601
24	83	6578
25	86	6563
26	89	6533
27	92	6490
28	95	6508
29	98	6465
30	101	6451
31	104	6450
32	108	6456
33	111	6472
34	115	6456
35	118	6459
36	122	6494
37	126	6508
38	129	6527
39	133	6539
40	137	6561
41	140	6554
42	144	6581
43	148	6583
44	151	6588
45	154	6582
46	157	6556
47	161	6550
48	164	6553
49	167	6541
50	170	6522
51	173	6494
52	176	6488
53	178	6449
54	181	6435
55	185	6437
56	188	6418
57	191	6410
58	194	6387
59	196	6355
60	199	6336
61	202	6334
62	205	6323
63	210	6357
64	213	6355
65	216	6333
66	218	6318
67	221	6305
68	224	6292
69	227	6269
70	230	6252
71	234	6267
72	236	6253
73	239	6234
74	243	6249
75	246	6231
76	249	6222
77	251	6202
78	254	6188
79	259	6217
80	262	6209
81	264	6196
82	268	6192
83	270	6173
84	274	6180
85	277	6171
86	279	6153
87	283	6153
88	286	6143
89	288	6131
90	291	6120
91	294	6103
92	297	6096
93	300	6091
94	303	6085
95	307	6091
96	310	6084
97	312	6074
98	314	6047
99	317	6034
100	320	6031
101	324	6038
102	327	6036
103	330	6031
104	334	6030
105	336	6015
106	340	6023
107	343	6019
108	347	6029
109	350	6021
110	353	6015
111	356	6003
112	358	5990
113	361	5977
114	364	5973
115	366	5959
116	370	5959
117	373	5951
118	376	5946
119	379	5939
120	382	5937
121	385	5929
122	388	5935
123	391	5927
124	394	5922
125	397	5919
126	401	5914
127	404	5909
128	407	5906
129	410	5904
130	413	5900
131	416	5890
132	418	5881
133	422	5876
134	424	5867
135	427	5857
136	430	5855
137	431	5819
138	434	5816
139	435	5792
140	439	5796
141	442	5790
142	445	5786
143	448	5780
144	451	5778
145	455	5781
146	458	5774
147	461	5771
