lot_id,lot_number,auction_id,auction_title,auction_date,auction_location,sale_type,artist_name,artist_birth_year,artist_death_year,title,medium_raw,medium_category,height_cm,width_cm,year_created,is_signed,is_dated,provenance_text,provenance_count,literature_text,literature_count,exhibited_text,exhibition_count,estimate_low_usd,estimate_high_usd,estimate_currency,hammer_price_usd,hammer_currency,is_sold,is_withdrawn,image_url,lot_url
astaguru_1,0,astaguru_217,Masters Legacy,2026-03-10,Mumbai,auction,Walter Langhammer,,,Untitled (Portrait Of A Child Reclining On A Sofa)),Oil on canvas,oil_on_canvas,71.0,82.5,1940.0,True,False,Property from a collection based in North India,1,,0,,0,11800.0,17700.0,INR,22994.86,INR,True,False,https://assets.astaguru.com/auctions/217/ml-mar26-1l.jpg,https://www.astaguru.com/lots//auctions/results/2026/masters-legacy-217/untitled-portrait-of-a-child-reclining-on-a-sofa-18717
astaguru_2,0,astaguru_217,Masters Legacy,2026-03-10,Mumbai,auction,Sital Chandra Bandyopadhyay,,,Untitled,Watercolour on paper,watercolor_on_paper,33.0,45.7,1930.0,True,False,"Property from a collection based in Kolkata. Artwork was acquired by the present owner directly from the artist, thence by descent",1,,0,,0,11800.0,17700.0,INR,30606.17,INR,True,False,https://assets.astaguru.com/auctions/217/ml-mar26-2l.jpg,https://www.astaguru.com/lots//auctions/results/2026/masters-legacy-217/untitled-18718
astaguru_3,0,astaguru_217,Masters Legacy,2026-03-10,Mumbai,auction,Xu Beihong,,,Galloping Horse,Ink on paper,ink_on_paper,109.2,61.0,1947.0,True,True,"Property from the collection of artist Shanu Lahiri, thence by descent. Artwork was acquired directly from the artist",1,,0,,0,59000.0,70800.0,INR,137969.18,INR,True,False,https://assets.astaguru.com/auctions/217/ml-mar26-3l.jpg,https://www.astaguru.com/lots//auctions/results/2026/masters-legacy-217/galloping-horse-18719
astaguru_4,0,astaguru_217,Masters Legacy,2026-03-10,Mumbai,auction,Nandalal Bose,,,Untitled (Shiva Drinking World Poison),Watercolour on paper,watercolor_on_paper,78.7,66.0,1943.0,True,True,"Property from an international collection. Artwork was acquired by the present owner directly from the artist, thence by descent",1,,0,,0,236000.0,354000.0,INR,571120.0,INR,True,False,https://assets.astaguru.com/auctions/217/ml-mar26-4l.jpg,https://www.astaguru.com/lots//auctions/results/2026/masters-legacy-217/untitled-shiva-drinking-world-poison-18720
astaguru_5,0,astaguru_217,Masters Legacy,2026-03-10,Mumbai,auction,Ramkinkar Baij,,,Father & Son,Cement cast,other,43.2,35.6,,False,False,Property from a collection based in New Delhi. Artwork was acquired by the present owner from a friend of the artist,1,,0,,0,118000.0,177000.0,INR,757761.15,INR,True,False,https://assets.astaguru.com/auctions/217/ml-mar26-5l.jpg,https://www.astaguru.com/lots//auctions/results/2026/masters-legacy-217/father-&-son-18721
astaguru_6,0,astaguru_217,Masters Legacy,2026-03-10,Mumbai,auction,Nandalal Bose,,,"24 Handwritten Letters, 7 Handwritten Envelopes & 1 Autographed Photo",Ink on paper,ink_on_paper,,,1947.0,True,True,Property from a collection based in Kolkata,1,,0,,0,17700.0,23600.0,INR,21417.0,INR,True,False,https://assets.astaguru.com/auctions/217/ml-mar26-n6l.jpg,https://www.astaguru.com/lots//auctions/results/2026/masters-legacy-217/24-handwritten-letters-7-handwritten-envelopes-&-1-autographed-photo-18722
astaguru_7,0,astaguru_217,Masters Legacy,2026-03-10,Mumbai,auction,Sadanand Bakre,,,Still Life,Oil on canvas,oil_on_canvas,57.15,57.15,1963.0,True,True,Property from a collection based in New Delhi. Artwork originally from the estate of artist Sadanand K Bakre,1,,0,,0,17700.0,23600.0,INR,108251.6,INR,True,False,https://assets.astaguru.com/auctions/217/ml-mar26-7l.jpg,https://www.astaguru.com/lots//auctions/results/2026/masters-legacy-217/still-life-18723
astaguru_8,0,astaguru_217,Masters Legacy,2026-03-10,Mumbai,auction,Paramjit Singh,,,Untitled,Oil on canvas,oil_on_canvas,91.4,63.5,2020.0,True,True,Property from a collection based in Mumbai,1,,0,,0,14160.0,17700.0,INR,40400.13,INR,True,False,https://assets.astaguru.com/auctions/217/ml-mar26-8l.jpg,https://www.astaguru.com/lots//auctions/results/2026/masters-legacy-217/untitled-18724
astaguru_9,0,astaguru_217,Masters Legacy,2026-03-10,Mumbai,auction,Sohan Qadri,,,Untitled,"Watercolour, natural dye & incision on paper",watercolor,63.5,48.3,,True,False,Property from a collection based in New Delhi,1,,0,,0,5900.0,8260.0,INR,13911.89,INR,True,False,https://assets.astaguru.com/auctions/217/ml-mar26-9l.jpg,https://www.astaguru.com/lots//auctions/results/2026/masters-legacy-217/untitled-18725
astaguru_10,0,astaguru_217,Masters Legacy,2026-03-10,Mumbai,auction,K H Ara,,,The Dance Of Life,Mixed media on paper,mixed_media,68.0,105.4,1950.0,True,False,"Property from a collection based in Mumbai, thence by descent",1,,0,,0,35400.0,47200.0,INR,83471.35,INR,True,False,https://assets.astaguru.com/auctions/217/ml-mar26-10l.jpg,https://www.astaguru.com/lots//auctions/results/2026/masters-legacy-217/the-dance-of-life-18726
