lot_id,lot_number,auction_id,auction_title,auction_date,auction_location,sale_type,artist_name,artist_birth_year,artist_death_year,title,medium_raw,medium_category,height_cm,width_cm,year_created,is_signed,is_dated,provenance_text,provenance_count,literature_text,literature_count,exhibited_text,exhibition_count,estimate_low_usd,estimate_high_usd,estimate_currency,hammer_price_usd,hammer_currency,is_sold,is_withdrawn,image_url,lot_url
pundoles_1-C0TVMZ_untitled,0,pundoles_1-C0TVMZ,The Fine Art Sale,,Mumbai,auction,JAMINI ROY,1887.0,1972.0,Untitled,Tempera on card,other,17.7,20.3,,True,False,,0,,0,,0,3600.0,6000.0,INR,10800.0,INR,True,False,https://cdn.userway.org/widgetapp/images/spin_wh.svg,https://auctions.pundoles.com/lots/view/1-C1ED49/untitled
pundoles_1-C0TVMZ_yudhishthiras-ascent-to-heaven,0,pundoles_1-C0TVMZ,The Fine Art Sale,,Mumbai,auction,NABENDRANATH TAGORE,1900.0,1965.0,Untitled,Opaque pigment on silk,other,144.2,52.1,,True,False,,0,,0,,0,4800.0,7200.0,INR,,INR,False,False,https://cdn.userway.org/widgetapp/images/spin_wh.svg,https://auctions.pundoles.com/lots/view/1-C1ED4H/yudhishthiras-ascent-to-heaven
pundoles_1-C0TVMZ_angel-at-a-graveside,0,pundoles_1-C0TVMZ,The Fine Art Sale,,Mumbai,auction,ALFRED DAVID THOMAS,1907.0,1989.0,OTHER  PROPERTIES,Ink and watercolour on paper heightened with gold,watercolor_on_paper,40.3,28.6,1932.0,True,True,,0,,0,,0,1200.0,2400.0,INR,4560.0,INR,True,False,https://cdn.userway.org/widgetapp/images/spin_wh.svg,https://auctions.pundoles.com/lots/view/1-C1ED4L/angel-at-a-graveside
pundoles_1-C0TVMZ_mv-dhurandhar-and-his-daughter-ambika-at-gharapuri-caves-elephanta-caves,0,pundoles_1-C0TVMZ,The Fine Art Sale,,Mumbai,auction,N.R. SARDESAI,1885.0,1954.0,Untitled,Gouache on paper,gouache_on_paper,51.7,34.8,1931.0,True,True,,0,,0,,0,1200.0,2400.0,INR,38400.0,INR,True,False,https://cdn.userway.org/widgetapp/images/spin_wh.svg,https://auctions.pundoles.com/lots/view/1-C1ED4P/mv-dhurandhar-and-his-daughter-ambika-at-gharapuri-caves-elephanta-caves
pundoles_1-C0TVMZ_ram-and-his-allies,0,pundoles_1-C0TVMZ,The Fine Art Sale,,Mumbai,auction,MAHADEV VISWANATH DHURANDHAR,1867.0,1944.0,Untitled,Pencil and watercolour on paper,watercolor_on_paper,20.3,16.2,1921.0,False,True,,0,,0,,0,1800.0,3000.0,INR,28800.0,INR,True,False,https://cdn.userway.org/widgetapp/images/spin_wh.svg,https://auctions.pundoles.com/lots/view/1-C1ED4R/ram-and-his-allies
pundoles_1-C0TVMZ_a-pair-of-drawings,0,pundoles_1-C0TVMZ,The Fine Art Sale,,Mumbai,auction,K.C.S. PANIKER,1911.0,1977.0,Untitled,Ink on paper,ink_on_paper,36.2,22.8,1955.0,False,False,,0,,0,,0,3600.0,6000.0,INR,10800.0,INR,True,False,https://cdn.userway.org/widgetapp/images/spin_wh.svg,https://auctions.pundoles.com/lots/view/1-C1ED4T/a-pair-of-drawings
pundoles_1-C0TVMZ_tabla-player,0,pundoles_1-C0TVMZ,The Fine Art Sale,,Mumbai,auction,MAQBOOL FIDA HUSAIN,1913.0,2011.0,Untitled,,unknown,20.9,15.2,,False,False,,0,,0,,0,6000.0,8400.0,INR,28800.0,INR,True,False,https://cdn.userway.org/widgetapp/images/spin_wh.svg,https://auctions.pundoles.com/lots/view/1-C1ED4V/tabla-player
pundoles_1-C0TVMZ_bullock-cart,0,pundoles_1-C0TVMZ,The Fine Art Sale,,Mumbai,auction,MAQBOOL FIDA HUSAIN,1913.0,2011.0,Untitled,,unknown,28.0,44.5,,False,False,,0,,0,,0,9600.0,14400.0,INR,42000.0,INR,True,False,https://cdn.userway.org/widgetapp/images/spin_wh.svg,https://auctions.pundoles.com/lots/view/1-C1ED4X/bullock-cart
pundoles_1-C0TVMZ_luv-and-kush,0,pundoles_1-C0TVMZ,The Fine Art Sale,,Mumbai,auction,KRISHNAJI HOWLAJI ARA,1914.0,1985.0,Untitled,Watercolour and gouache on paper,gouache_on_paper,,,1933.0,True,True,"Formerly in the Collection of Zainab and Ruxana Pathan.
This early watercolour by Krishnaji Howlaji Ara offers a rare glimpse into the artist's largely undocumented pre-Progressive practice. Painted during a politically charged period, the work reflects Ara's direct engagement with India's struggle for independence. In 1930, at just sixteen, he joined Gandhi's Salt Satyagraha, one of the most influential acts of civil disobedience, and was subsequently imprisoned for five months. As Yashodhara Dalmia notes, 'since life on the edge was an essential driving force with Ara, it was inevitable that he would be drawn into the surging atmosphere of the Independence movement. His own participation in the freedom movement gave him a view of the rising crescendo of the struggle from the inside.' (Yashodhara Dalmia, 'The Stillness of Life: Krishnaji Howlaji Ara', The Making of Modern Indian Art: The Progressives, New Delhi, 2001, p. 137) Created three years later, the painting belongs to a moment when Ara's experiences with anti-colonial activism were shaping both his worldview and the ideological foundations of his early artistic production. Through its mythological subject matter and revivalist visual language, the work transcends aesthetic experimentation, reflecting the ethical and political atmosphere in which Ara was forging his identity as both a citizen and an artist under colonial rule.
This idyllic scene from the Ramayana, set within a forest hermitage, captures the lives of Lord Ram's sons, Luv and Kush, during the years they spent in the forest at the poet sage Valmiki's ashram. The twin boys lived with the sage, and were brought up by him and Sita. Here, Ara captures an important part of their education - learning to use a bow and arrow - one brother prepares to release an arrow under the careful guidance of Valmiki, who gently steadies his arm. In the lower right corner, his semi-recumbent brother patiently awaits his turn, observing the lesson with a quiver of a",6,,0,,0,18000.0,30000.0,INR,180000.0,INR,True,False,https://cdn.userway.org/widgetapp/images/spin_wh.svg,https://auctions.pundoles.com/lots/view/1-C1ED4Z/luv-and-kush
pundoles_1-C0TVMZ_untitled-dancers,0,pundoles_1-C0TVMZ,The Fine Art Sale,,Mumbai,auction,RAM KUMAR,1924.0,2018.0,Untitled,Gouache on paper,gouache_on_paper,37.7,27.7,1949.0,True,True,,0,,0,"Ram Kumar, Y.M.C.A., Simla, 1949.
'I was excited when 'Caravan of India' suggested to hold my solo exhibition in Simla. It was the summer of 1948. Simla was full of tourists. General Cariappa opened my exhibition. I had hoped to sell him a painting but when he left just after shaking hands with me, I was annoyed. Some days later, I ran into Dr. Zakir Husain on the ridge. He was in Simla in connection with some UG meeting. He had been my teacher in Delhi University. I went upto him and introduced myself and invited him to my exhibition. The next day he came. Not only he took keen interest in my show, he also asked me questions which pleasantly flattered me. At the end of it when he expressed his desire to buy 4 of my works, I couldn't believe it. My first ever paintings were being sold and that too, to a person who was held in great esteem by everybody.' (Ram Kumar, 'From Ram Kumar's Notebooks - Paintings on a Bullock-cart', Ram Kumar A Journey Within, New Delhi, 1996, p. 195)
The two gouache works on paper in the current sale (lots 15 and 17) represent two of the earliest works by Ram Kumar to come up at auction. Both works come from the family of Dr. Zakir Husain, an educator and professor who went on to become India's third President. The young Ram Kumar had first met Dr. Husain while he was a student at St. Stephen's College in New Delhi in the late 1930s. He quite enjoyed the academic setting which provided him with the perfect environment to develop his Hindi short-story writing skills. It was only in the early 1940s that he began painting, quite by chance, when he enrolled in the Sarada Ukil Art School in Connaught Circle, to better understand the tenets of Western painting. Ram Kumar spent the better part of the decade alternating between conventional jobs, such as working in a bank for his uncle in Simla, or developing both his writing and painting skills, which had a mutually beneficial effect on each other. By 1948, he had started sending his paintings to ",5,24000.0,36000.0,INR,156000.0,INR,True,False,https://cdn.userway.org/widgetapp/images/spin_wh.svg,https://auctions.pundoles.com/lots/view/1-C1ED51/untitled-dancers
