lot_id,lot_number,auction_id,auction_title,auction_date,auction_location,sale_type,artist_name,artist_birth_year,artist_death_year,title,medium_raw,medium_category,height_cm,width_cm,year_created,is_signed,is_dated,provenance_text,provenance_count,literature_text,literature_count,exhibited_text,exhibition_count,estimate_low_usd,estimate_high_usd,estimate_currency,hammer_price_usd,hammer_currency,is_sold,is_withdrawn,image_url,lot_url
-131603175,101,,Modern American Art ,2026-04-16T14:00Z,New York,live,JOSEPH CHRISTIAN LEYENDECKER,1874.0,1951.0,Christmas Prayers,,unknown,,,,False,False,,0,,0,,0,150000.0,250000.0,USD,0.0,USD,True,False,,https://www.christies.com/en/lot/lot-6578843
3382661768,23,,Modern American Art ,2026-04-16T14:00Z,New York,live,MILTON AVERY,1885.0,1965.0,Mountain and Lake,,unknown,,,,False,False,,0,,0,,0,250000.0,350000.0,USD,0.0,USD,True,False,,https://www.christies.com/en/lot/lot-6578765
4700518380,116,,20th Century Day Sale,2026-03-28T05:30Z,Hong Kong,live,"CHU TEH-CHUN (ZHU DEQUN, 1920-2014)",,,No. 223,,unknown,,,,False,False,,0,,0,,0,256000.0,512000.0,HKD,0.0,USD,True,False,,https://www.christies.com/en/lot/lot-6578232
3645890878,10,,20th/21st Century Evening Sale,2026-03-27T11:00Z,Hong Kong,live,JEAN-MICHEL BASQUIAT,1960.0,1988.0,Untitled,,unknown,,,,False,False,,0,,0,,0,2304000.0,3584000.0,HKD,0.0,USD,True,False,,https://www.christies.com/en/lot/lot-6578129
-534641085,13,,20th/21st Century Evening Sale,2026-03-27T11:00Z,Hong Kong,live,"SANYU (CHANG YU, 1895-1966)",,,"Modèle nue, assise, de dos II (Seated Nude Model, Viewed from the Back II)",,unknown,,,,False,False,,0,,0,,0,1408000.0,2560000.0,HKD,0.0,USD,True,False,,https://www.christies.com/en/lot/lot-6578132
2877564851,24,,20th/21st Century Evening Sale,2026-03-27T11:00Z,Hong Kong,live,"ZAO WOU-KI (ZHAO WUJI, 1920-2013)",,,22.10.60,,unknown,,,,False,False,,0,,0,,0,1920000.0,2816000.0,HKD,0.0,USD,True,False,,https://www.christies.com/en/lot/lot-6578143
8560126949,37,,20th/21st Century Evening Sale,2026-03-27T11:00Z,Hong Kong,live,"JU MING (ZHU MING, 1938-2023)",,,Taichi Series,,unknown,,,,False,False,,0,,0,,0,576000.0,832000.0,HKD,0.0,USD,True,False,,https://www.christies.com/en/lot/lot-6578156
6333929671,7,,20th/21st Century Evening Sale,2026-03-27T11:00Z,Hong Kong,live,VINCENT VAN GOGH,1853.0,1890.0,Meisje in het bosch (A Girl in a Wood),,unknown,,,,False,False,,0,,0,,0,1280000.0,2560000.0,HKD,0.0,USD,True,False,,https://www.christies.com/en/lot/lot-6578126
2239082842,9,,20th/21st Century Evening Sale,2026-03-27T11:00Z,Hong Kong,live,"SANYU (CHANG YU, 1895-1966)",,,Cheval agenouillé sur un tapis (Kneeling Horse on Carpet),,unknown,,,,False,False,,0,,0,,0,3584000.0,6144000.0,HKD,0.0,USD,True,False,,https://www.christies.com/en/lot/lot-6578128
8094554065,330,,South Asian Modern + Contemporary Art,2026-03-25T14:00Z,New York,live,SAYED HAIDER RAZA,1922.0,2016.0,Landscape from Provence,,unknown,,,,False,False,,0,,0,,0,300000.0,500000.0,USD,1460500.0,USD,True,False,,https://www.christies.com/en/lot/lot-6575892
-310688049,331,,South Asian Modern + Contemporary Art,2026-03-25T14:00Z,New York,live,SAYED HAIDER RAZA,1922.0,2016.0,Untitled (Eglise Rouge),,unknown,,,,False,False,,0,,0,,0,150000.0,250000.0,USD,863600.0,USD,True,False,,https://www.christies.com/en/lot/lot-6575893
3307282560,332,,South Asian Modern + Contemporary Art,2026-03-25T14:00Z,New York,live,SAYED HAIDER RAZA,1922.0,2016.0,"Untitled (La Zone, Fond Orange)",,unknown,,,,False,False,,0,,0,,0,50000.0,70000.0,USD,234950.0,USD,True,False,,https://www.christies.com/en/lot/lot-6575894
2362001878,333,,South Asian Modern + Contemporary Art,2026-03-25T14:00Z,New York,live,SAYED HAIDER RAZA,1922.0,2016.0,Untitled (Paysage Jaune avec Eglise),,unknown,,,,False,False,,0,,0,,0,150000.0,250000.0,USD,762000.0,USD,True,False,,https://www.christies.com/en/lot/lot-6575895
5500272145,334,,South Asian Modern + Contemporary Art,2026-03-25T14:00Z,New York,live,SAYED HAIDER RAZA,1922.0,2016.0,Untitled (Eglise Blanche),,unknown,,,,False,False,,0,,0,,0,150000.0,250000.0,USD,406400.0,USD,True,False,,https://www.christies.com/en/lot/lot-6575896
5697987289,335,,South Asian Modern + Contemporary Art,2026-03-25T14:00Z,New York,live,SAYED HAIDER RAZA,1922.0,2016.0,Untitled (Village la Nuit),,unknown,,,,False,False,,0,,0,,0,180000.0,250000.0,USD,571500.0,USD,True,False,,https://www.christies.com/en/lot/lot-6575897
-546998985,709,,South Asian Modern + Contemporary Art ,2025-09-17T14:00Z,New York,live,SAYED HAIDER RAZA,1922.0,2016.0,Germination,,unknown,,,,False,False,,0,,0,,0,180000.0,250000.0,USD,381000.0,USD,True,False,,https://www.christies.com/en/lot/lot-6547999
4595392118,710,,South Asian Modern + Contemporary Art ,2025-09-17T14:00Z,New York,live,SAYED HAIDER RAZA,1922.0,2016.0,Les Champs (The Field),,unknown,,,,False,False,,0,,0,,0,18000.0,25000.0,USD,82550.0,USD,True,False,,https://www.christies.com/en/lot/lot-6548000
-276159860,711,,South Asian Modern + Contemporary Art ,2025-09-17T14:00Z,New York,live,SAYED HAIDER RAZA,1922.0,2016.0,Lumiere Jaune (Yellow Light),,unknown,,,,False,False,,0,,0,,0,12000.0,18000.0,USD,53340.0,USD,True,False,,https://www.christies.com/en/lot/lot-6548001
